Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Foreign Exchange Rate Forecast by a Large Language Model Integrated with Trend Description,K. Peng; H. Iima,"Engineering Design, Kyoto Institute of Technology, Kyoto, Japan; Information and Human Sciences, Kyoto Institute of Technology, Kyoto, Japan",2024 11th International Conference on Soft Computing & Machine Intelligence (ISCMI),28 Jan 2025,2024,,,173,176,"In this paper, we propose a large language model to forecast the direction of change in a foreign exchange rate. The input of the proposed model is textual information as a prompt, whereas that of conventional forecast models is numerical information. A recent trend in the exchange rate is added to input textual information to enhance forecast accuracy. GPT-2 is adopted as our large language model and is fine-tuned using training data. The effectiveness of the proposed model is empirically examined using actual data.",2640-0146,979-8-3315-1812-7,10.1109/ISCMI63661.2024.10851549,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851549,machine learning;deep learning;large language model;time series;finance,Exchange rates;Accuracy;Large language models;Training data;Predictive models;Market research;Data models;Numerical models;Machine intelligence,,,,16.0,IEEE,28 Jan 2025,,,IEEE,IEEE Conferences
Leveraging Automatically Optimized Forecasters and Large Language Model for Predicting Vietnamese Rice Export Price,H. Phan; V. Nguyen; V. Vo; N. -Q. Tran; L. Tran; S. Dao; H. Pham,"School of Science, Engineering and Technology, RMIT University, Ho Chi Minh City, Vietnam; School of Science, Engineering and Technology, RMIT University, Ho Chi Minh City, Vietnam; School of Science, Engineering and Technology, RMIT University, Ho Chi Minh City, Vietnam; School of Science, Engineering and Technology, RMIT University, Ho Chi Minh City, Vietnam; School of Science, Engineering and Technology, RMIT University, Ho Chi Minh City, Vietnam; School of Science, Engineering and Technology, RMIT University, Ho Chi Minh City, Vietnam; The Business School, RMIT University, Ho Chi Minh City, Vietnam",2024 RIVF International Conference on Computing and Communication Technologies (RIVF),28 May 2025,2024,,,237,241,"This study evaluates the reliability of Vietnamese rice export price forecasting through an end-to-end framework, emphasizing systematic ablation studies across statistical and machine learning models. Input combinations range from univariate price data to macroeconomic indicators, sentiment signals derived via Large Language Models, and their integration. Results demonstrate that gradient boosting methods, particularly CatBoost, consistently outperform statistical models. Notably, sentiment-based models achieve performance comparable to those using full macroeconomic data. The integration of sentiment and macroeconomic features yields the most reliable forecasts, validating the role of sentiment signals in enhancing economic forecasting.",2473-0130,979-8-3315-0507-3,10.1109/RIVF64335.2024.11009071,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009071,rice export price;time series forecasting;large language models;feature selection;machine learning,Sentiment analysis;Systematics;Statistical analysis;Biological system modeling;Large language models;Time series analysis;Predictive models;Feature extraction;Data models;Macroeconomics,,,,27.0,IEEE,28 May 2025,,,IEEE,IEEE Conferences
Prediction of Foreign Exchange Rates by a Large Language Model,K. Peng; H. Iima; Y. Kitamura,"Kyoto Institute of Technology, Kyoto, Japan; Kyoto Institute of Technology, Kyoto, Japan; Waseda University, Tokyo, Japan",2024 SICE Festival with Annual Conference (SICE FES),24 Dec 2024,2024,,,1062,1066,"This paper proposes a prompt-based method utilizing a large language model (LLM) to predict changes in foreign exchange rates based on limit order information. While traditional deep learning models for prediction utilize numerical values as input and output, LLMs use sentences and prompts. To address this, we design prompts that incorporate the numerical values. GPT-2, a widely adopted LLM, is employed and fine-tuned using a training dataset. The effectiveness of our proposed method is demonstrated through empirical analysis using actual time series data.",,978-4-9077-6483-8,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10805163,Large language model;Foreign exchange rate;Finance;Time series;Machine learning,Training;Deep learning;Exchange rates;Costs;Profitability;Large language models;Time series analysis;Predictive models;Iron;Numerical models,,1.0,,12.0,,24 Dec 2024,,,IEEE,IEEE Conferences
Tabnet With Data Augmentation Apporach in Stock Return Prediction Task,W. Zhuohan,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China",2022 19th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),19 Jan 2023,2022,,,1,5,"Despite the advent of deep learning, stock return prediction task still has many challenges. Due to the scarcity of stock data, we adopt a GAN-based deep generative model to create synthetic data samples. To deal with the intrinsic low signal-to-noise ratio property of stock price time series, we formulate the return prediction as a supervised learning problem with tabular dataset, where we do feature engineering before training with a TabNet model. We conduct extensive experiments on real Chinese stock market with 6 different models, which proves that our proposed model makes larger profit and remains stability.",2576-8964,978-1-6654-9389-5,10.1109/ICCWAMTIP56608.2022.10016580,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10016580,Stock Return Prediction;Deep Learning;Small Dataset Problem;Conditional Tabular Generative Adversarial Network;TabNet,Training;Computational modeling;Time series analysis;Predictive models;Data models;Stability analysis;Task analysis,,,,20.0,IEEE,19 Jan 2023,,,IEEE,IEEE Conferences
A Sentiment-Augmented Machine Learning Approach to Forecasting IHSG Prices Using XGBoost,M. Rizki Wiratama; N. Aquarini; P. Harry Gunawan,"School of Computing Telkom University, Bandung, Indonesia; Ecole Doctorale Science Economics Universite de Poitiers Intervenant Finance, La Rochelle, France; CoE HUMIC, School of Computing Telkom University, Bandung, Indonesia","2025 International Conference on Advancement in Data Science, E-learning and Information System (ICADEIS)",26 Mar 2025,2025,,,1,6,"Stocks are a commonly used investment instrument, representing ownership in a company, and offering opportunities for investors to gain profits through the appreciation of stock value as well as dividend distribution. As one of the main financial assets, stocks are also influenced by various external factors, such as economic conditions, government policies, and market sentiment. All of these factors play a crucial role in determining stock price movements. This study integrates sentiment analysis with the XGBoost algorithm to predict IHSG stock prices. By utilizing historical stock data and sentiment derived from financial news, the study evaluates the impact of sentiment data integration on prediction accuracy. Three types of returns (absolute, relative, and logarithmic) and five sentiment scenarios were employed to assess the contribution of sentiment features to the prediction model. The results indicate that sentiment integration consistently improves the predictive performance of the model compared to using historical data alone. Among the tested scenarios, Scenario 2, 4, and 5 demonstrated the best performance, with an RMSE value of 0.009163 and an MAE value of 0.007432, using the logarithmic return type. These findings suggest that incorporating sentiment features into predictive models can enhance the accuracy of stock price predictions and highlight the potential of Natural Language Processing (NLP) and Large Language Models (LLMs) in stock market analysis.",,979-8-3315-1332-0,10.1109/ICADEIS65852.2025.10933440,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933440,XGBoost algorithm;stock prediction;sentiment analysis;large language models,Sentiment analysis;Adaptation models;Analytical models;Accuracy;Large language models;Predictive models;Prediction algorithms;Transformers;Data models;Stock markets,,1.0,,19.0,IEEE,26 Mar 2025,,,IEEE,IEEE Conferences
The Development of CanPrompt Strategy in Large Language Models for Cancer Care,N. Ahmad; E. Mamatjan; T. Wali; Y. Mamatjan,"Faculty of Science, Thompson Rivers University, Canada; MamatjanLab, Thompson Rivers University, Canada; School of Information Technology, Carleton University, Canada; Faculty of Science, Thompson Rivers University, Canada",2024 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB),8 Oct 2024,2024,,,1,6,"Background: The recent revolution in Large Language Models (LLMs) is transforming industries, enhancing communication, and reshaping research methodologies. LLMs have found significant applications across various sectors, notably in finance for stock market predictions, and in healthcare, where complex medical data is analyzed for diagnosis at an early stage, improving diagnostic procedures, and personalized treatment planning. In healthcare, where complex medical data is analyzed for diagnosis at an early stage. Despite the immense potential, challenges such as overwhelming Big Data, model hallucinations, and ethical concerns about patient privacy and bias persist. Method: We implemented novel strategies like CanPrompt to mitigate the accuracy and hallucination concerns to ensure responsible deployment. The CanPrompt strategy utilizes prompt engineering combined with few-shot and in-context learning to significantly enhance model accuracy by generating more relevant answers. The models were tested against a specialized dataset from MedQuAD, focusing on cancer, and evaluated using metrics like ROUGE and BERTScore to assess the semantic and syntactic accuracy of generated responses against validated ""Gold Answers"". Through this approach, the study seeks to outline the potential and limitations of LLMs in improving cancer care. Result: After applying CanPrompt with models Mistral 7x8b, Falcon 40b, and Llama 3-8b, BERTScore results showed Mistral leading with an accuracy around 84%, Falcon slightly lower, and Llama the least, with respective precision scores also reflecting a similar trend. Conclusion: The study demonstrates the promise of LLMs in cancer care through the introduction of CanPrompt.",2994-9408,979-8-3503-5663-2,10.1109/CIBCB58642.2024.10702147,Natural Sciences and Engineering Research Council of Canada; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10702147,Large Language Model (LLM);Cancer;prompt;ROGUE score;BERTScore;Mistral 7x8B;Falcon 40b;and Llama 3-8b,Accuracy;Large language models;Semantics;Medical services;Syntactics;Planning;Prompt engineering;Stock markets;Medical diagnostic imaging;Cancer,,2.0,,12.0,IEEE,8 Oct 2024,,,IEEE,IEEE Conferences
Pleno-Alignment Framework for Stock Trend Prediction,Y. Luo; J. Zheng; Z. Yang; N. Chen; D. Wu,"Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China; Department of Computer Science, City University of Hong Kong, Hong Kong, SAR, China",IEEE Transactions on Neural Networks and Learning Systems,4 Sep 2025,2025,36,9.0,16604,16618,"Predicting stock trends is a highly rewarding but high-risk endeavor due to the complex interplay of market dynamics, irrational behaviors, and diverse sentiments. Previous studies have used time-series analysis on historical prices or sentiment analysis on textual information. However, these methods often fail to capture the dynamic interactions between text and time-series modalities and overlook the different perspectives embedded in textual data. To address these limitations, we propose the pleno-alignment framework (PAFrame) that enhances multimodal stock information through intermodal and intramodal alignment to capture market dynamics. Our framework first integrates textual and time-series data in a shared representation space to learn modal-invariant information. To tackle divergent sentiments in textual data, we employ a contrastive learning approach to extract abstract semantic meanings from objective and subjective perspectives, thereby improving the robustness of language representations. Finally, we use a hybrid approach that explicitly combines cross-attention mechanisms to create a unified representation and utilizes prompts to implicitly guide language models with numerical financial indicators for final prediction. Our comprehensive experiments on five real-world datasets show that PAFrame outperforms existing methods in predicting stock trends.",2162-2388,,10.1109/TNNLS.2025.3561811,InnoHK Initiative; Government of the HKSAR; Laboratory for AI-Powered Financial Technologies; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10981791,Contrastive learning;language model;multimodal;stock trend prediction;time series,Market research;Predictive models;Social networking (online);Accuracy;Stock markets;Analytical models;Data mining;Biological system modeling;Time series analysis;Semantics,,1.0,,71.0,IEEE,1 May 2025,,,IEEE,IEEE Journals
Comparing the Best-Fit and Integrating Generative Deep Learning with Time Series Models for Metal Price Forecasting: A Predictive Analysis,P. Bairagi; S. Arora; A. Chakraborty,"Symbiosis School of Banking and Finance, Symbiosis International University, Pune, India; Symbiosis Centre for Information Technology, Symbiosis International University, Pune, India; Institute of Management Studies, Banaras Hindu University, Varanasi, India",2024 First International Conference for Women in Computing (InCoWoCo),6 Feb 2025,2024,,,1,8,"Forecasting metal prices in volatile financial markets is a challenging task due to the non-linear and stochastic nature of price movements. This research integrates deep learning techniques with time series models to predict metal prices, focusing on the MCX Index. A novel Generative Adversarial Network (GAN) framework, coupled with a Convolutional Neural Network (CNN) as a discriminator and Gated Recurrent Units (GRU) as a generator, is proposed. Historical NSE metal spot price data, specifically gold and silver, were used for model training and evaluation. The empirical results demonstrated that the proposed GAN-based architecture outperformed other deep learning models, including LSTM and Bi-LSTM, in terms of forecasting accuracy. The study provides valuable insights into the application of deep generative models for financial forecasting, addressing key challenges associated with modeling non-stationary and noisy financial data.",,979-8-3315-1894-3,10.1109/InCoWoCo64194.2024.10863422,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863422,commodity spot price;gated recurrent unit (GRU);generative adversarial network (GAN);time-reries forecasting;metal price prediction,Deep learning;Training;Computational modeling;Time series analysis;Stochastic processes;Predictive models;Generative adversarial networks;Data models;Convolutional neural networks;Forecasting,,,,39.0,IEEE,6 Feb 2025,,,IEEE,IEEE Conferences
CryptexLLM: How LLM Generalizability Forecasts High Volatility,L. Rao; M. Tsaryk; A. Benhnini; I. Raicu,"Department of Computer Science, Illinois Institute of Technology, Chicago, USA; Department of Computer Science, Fordham University, New York City, USA; Department of Computer Science, Illinois Institute of Technology, Chicago, USA; Department of Computer Science, Illinois Institute of Technology, Chicago, USA",2025 IEEE International Conference on eScience (eScience),7 Oct 2025,2025,,,361,362,"We present CryptexLLM, an approach to time series forecasting that adapts large language models (LLMs) for predicting high volatility data. We extend the TimeLLM framework with an adaptive weighted loss function, feature engineering, and sentiment analysis. Our experiments show that the approach we took outperforms traditional LSTM models and statistical methods, with our best performing model being Llama 3.1. The adaptations we made improve directional accuracy, which is particularly useful for financial applications, while still maintaining computational efficiency. Our results suggest that LLMs have the potential to effectively generalize to volatile time series domains.",2325-3703,979-8-3315-9145-8,10.1109/eScience65000.2025.00071,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181526,time series;volatile;llm,Adaptation models;Sentiment analysis;Statistical analysis;Computational modeling;Large language models;Time series analysis;Data models;Pattern recognition;Forecasting;Long short term memory,,,,2.0,IEEE,7 Oct 2025,,,IEEE,IEEE Conferences
Assessing the Correlation Between News Sentiment and Stock Price Movements: A Case Study of ‘WeWork’ Using Advanced NLP Techniques,H. S. B. Al Nahyan; A. Shuhaiber,"College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates; College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates",2024 International Conference on Computer and Applications (ICCA),26 Mar 2025,2024,,,1,6,"This research explores the intricate relationship between news article sentiment and stock price movements, with the company ‘WeWork’ serving as a case study. Leveraging advanced Natural Language Processing (NLP) techniques and Large Language Models (LLMs) such as Open AI, this study aims to transform unstructured textual data into actionable financial insights. Through rigorous data collection and preprocessing, sentiment scores were derived from a wide range of news sources and correlated with historical stock prices. Statistical analyses, including linear regression and correlation metrics, revealed a weak positive correlation of 16.47% between sentiment and stock prices. Although the correlation suggests that sentiment analysis can offer valuable insights into market trends, it is insufficient as a standalone predictor for investment decisions. The findings underscore the importance of integrating sentiment analysis with traditional financial metrics, and call for the development of more robust models incorporating diverse data sources in future research.",,979-8-3503-6756-0,10.1109/ICCA62237.2024.10927897,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927897,Sentiment Analysis;Stock Price Prediction;Natural Language Processing (NLP);Large Language Models (LLMs),Measurement;Sentiment analysis;Correlation;Statistical analysis;Large language models;Soft sensors;Linear regression;Transforms;Market research;Investment,,,,24.0,IEEE,26 Mar 2025,,,IEEE,IEEE Conferences
Stock Price Prediction with Multimodal Data,F. Karadaş; B. Eravci; A. M. Özbayoğlu,"Bilgisayar Mühendisliği, TOBB Ekonomi ve Teknoloji Üniversitesi, Ankara, Türkiye; Yapay Zeka Mühendisliği, TOBB Ekonomi ve Teknoloji Üniversitesi, Ankara, Türkiye; Yapay Zeka Mühendisliği, TOBB Ekonomi ve Teknoloji Üniversitesi, Ankara, Türkiye",2025 33rd Signal Processing and Communications Applications Conference (SIU),15 Aug 2025,2025,,,1,4,"In today's financial markets, the influence of dynamic factors is becoming increasingly evident, and markets are affected by real-time data from various sources. In this study, a multimodal machine learning approach is adopted by integrating traditional technical analysis metrics, tweets, and news articles with historical price data. Market sentiment and investor psychology are measured through sentiment analysis of textual data using both the FinBERT and ChatGPT-4o models, and the obtained outputs are combined with financial metrics to construct an LSTM-based stock price prediction model. To enhance the model's stability, LSTM models derived from different training sessions are merged using an ensemble learning method, and the two approaches are compared. The results demonstrate that the ensemble model outperforms the standard LSTM model, and integrating financial indicators with tweet and news data, as opposed to relying solely on price data, leads to increased overall profit.",2165-0608,979-8-3315-6655-5,10.1109/SIU66497.2025.11112242,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11112242,Financial Forecasting;Stock Market Prediction;Deep Learning;Deep Neural Networks;Multimodal Machine Learning;Large Language Models,Measurement;Training;Analytical models;Predictive models;Signal processing;Data models;Stability analysis;Stock markets;Long short term memory;Standards,,,,0.0,IEEE,15 Aug 2025,,,IEEE,IEEE Conferences
Harnessing Earnings Reports for Stock Predictions: A QLoRA-Enhanced LLM Approach,H. Ni; S. Meng; X. Chen; Z. Zhao; A. Chen; P. Li; S. Zhang; Q. Yin; Y. Wang; Y. Chan,"Columbia University, New York, USA; Central University of Finance and Economics, Beijing, China; New York University, New York, USA; Cornell University, Ithaca, USA; Independent Researcher, Beijing, China; University of Michigan, Ann Arbor, USA; Cornell University, Ithaca, USA; Columbia University, New York, USA; New York University, New York, USA; Rutgers University, New Jersey, USA",2024 6th International Conference on Data-driven Optimization of Complex Systems (DOCS),10 Oct 2024,2024,,,909,915,"Accurate stock market predictions following earnings reports are crucial for investors. Traditional methods, particularly classical machine learning models, struggle with these predictions because they cannot effectively process and interpret extensive textual data contained in earnings reports and often overlook nuances that influence market movements. This paper introduces an advanced approach by employing Large Language Models (LLMs) instruction fine-tuned with a novel combination of instruction-based techniques and quantized low-rank adaptation (QLoRA) compression. Our methodology integrates ‘base factors‘, such as financial metric growth and earnings transcripts, with ‘external factors‘, including recent market indices performances and analyst grades, to create a rich, supervised dataset. This comprehensive dataset enables our models to achieve superior predictive performance in terms of accuracy, weighted Fl, and Matthews correlation coefficient (M CC), especially evident in the comparison with benchmarks such as GPT-4. We specifically highlight the efficacy of the llama-3-8b-Instruct-4bit model, which showcases significant improvements over baseline models. The paper also discusses the potential of expanding the output capabilities to include a ‘Hold’’’’’ option and extending the prediction horizon, aiming to accommodate various investment styles and time frames. This study not only demonstrates the power of integrating cutting-edge AI with fine-tuned financial data but also paves the way for future research in enhancing AI -driven financial analysis tools.",,979-8-3503-7784-2,10.1109/DOCS63458.2024.10704454,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10704454,Large Language Model;Quantized Low-Rank Adaptation;Instruction Fine Tuning,Measurement;Adaptation models;Accuracy;Large language models;Machine learning;Predictive models;Stock markets;Tuning;Optimization;Investment,,10.0,,47.0,IEEE,10 Oct 2024,,,IEEE,IEEE Conferences
Recommender Systems for Sector-Specific Stock Analysis,J. M. Shah; A. Dhagam; A. Wadhwa; A. A. Ram; R. Bharathi,"Department of Computer Science and Engineering, PES University, Bengaluru, India; Department of Computer Science and Engineering, PES University, Bengaluru, India; Department of Computer Science and Engineering, PES University, Bengaluru, India; Department of Computer Science and Engineering, PES University, Bengaluru, India; Department of Computer Science and Engineering, PES University, Bengaluru, India",2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),23 Apr 2025,2025,,,868,872,"Recommender systems are essential tools that assist users in making informed decisions by providing suggestions based on their previous actions and preferences. Traditional methods like content based and collaborative filtering work well for smaller datasets but often fail to extract information from large datasets due to their limited ability to capture complex patterns. This paper introduces a novel approach for stock recommendation that leverages a large language model, Llama 3.1, fine-tuned on financial news data. Financial news headlines and summaries were collected using the FinnHub API which served as the primary dataset. The system integrates stock price forecasting, sentiment analysis, and performance indicators to generate an effective analysis for decision making. The forecasting algorithm generates the stock price predictions which were integrated with sentiment analysis and stock performance indicators to create an informative prompt-response dataset for fine-tuning. The proposed system ranks stocks based on positive developments, potential concerns, and forecasted closing prices, providing Buy or Sell recommendations. Experimental results demonstrated moderate performance for predicting Buy recommendations, while Sell predictions exhibited lower accuracy comparatively. Analysis based on sectors revealed that the consumer cyclical and healthcare sectors yielded the best performance for Buy and Sell recommendations, respectively.",2473-5655,979-8-3315-3193-5,10.1109/CSNT64827.2025.10967744,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10967744,Recommender Systems;Large Language Models;Ranking Algorithm,Analytical models;Sentiment analysis;Social networking (online);Large language models;Predictive models;Prediction algorithms;Real-time systems;Forecasting;Stock markets;Recommender systems,,,,14.0,IEEE,23 Apr 2025,,,IEEE,IEEE Conferences
"Large Language Models and Sentiment Analysis in Financial Markets: A Review, Datasets, and Case Study",C. Liu; A. Arulappan; R. Naha; A. Mahanti; J. Kamruzzaman; I. -H. Ra,"School of Computer Science, The University of Auckland, Auckland, New Zealand; School of Computer Science Engineering and Information Systems, VIT University, Vellore, India; School of Information Systems, Queensland University of Technology, Brisbane, QLD, Australia; School of Computer Science, The University of Auckland, Auckland, New Zealand; Centre for Smart Analytics, Federation University Australia, Melbourne, VIC, Australia; School of Software, Kunsan National University, Gunsan, South Korea",IEEE Access,30 Sep 2024,2024,12,,134041,134061,"This paper comprehensively examines Large Language Models (LLMs) in sentiment analysis, specifically focusing on financial markets and exploring the correlation between news sentiment and Bitcoin prices. We systematically categorize various LLMs used in financial sentiment analysis, highlighting their unique applications and features. We also investigate the methodologies for effective data collection and categorization, underscoring the need for diverse and comprehensive datasets. Our research features a case study investigating the correlation between news sentiment and Bitcoin prices, utilizing advanced sentiment analysis and financial analysis methods to demonstrate the practical application of LLMs. The findings reveal a modest but discernible correlation between news sentiment and Bitcoin price fluctuations, with historical news patterns showing a more substantial impact on Bitcoin’s longer-term price than immediate news events. This highlights LLMs’ potential in market trend prediction and informed investment decision-making.",2169-3536,,10.1109/ACCESS.2024.3445413,"School of Computer Science Engineering and Information Systems, Vellore Institute of Technology; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638546,Large language model;Bitcoin price;sentiment analysis;machine learning;market dynamics,Sentiment analysis;Bitcoin;Analytical models;Predictive models;Large language models;Correlation;Quality assessment,,22.0,,106.0,CCBYNCND,19 Aug 2024,,,IEEE,IEEE Journals
Graph LLM-Based Portfolio Management Algorithm,D. Qin; Y. Yi; E. E. Kuruoglu,"Institute of Data and Information, Tsinghua Shenzhen International Graduate School, Tsinghua University; Institute of Data and Information, Tsinghua Shenzhen International Graduate School, Tsinghua University; Institute of Data and Information, Tsinghua Shenzhen International Graduate School, Tsinghua University",2025 IEEE Conference on Artificial Intelligence (CAI),7 Jul 2025,2025,,,157,160,"This paper explores the integration of large language models (LLMs) with graph-based financial networks for quantitative trading. By leveraging GPT-3 for stock network return predictions, we develop a Graph-LLM trading strategy. Experimental results demonstrate that the proposed strategy achieves lower volatility and more stable performance than traditional baselines. Our findings highlight the potential of combining LLMs with financial complex networks to enhance quantitative trading strategies.",,979-8-3315-2400-5,10.1109/CAI64502.2025.00032,Shenzhen Science and Technology Innovation Commission(grant numbers:JCYJ20220530143002005); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050563,Quantitative trading;Financial complex networks;Large language models;Graph-based trading strategies,Large language models;Complex networks;Prediction algorithms;Portfolios,,,,23.0,IEEE,7 Jul 2025,,,IEEE,IEEE Conferences
Machine Learning Approaches to Picking A-Shares Stocks: A Comparative Analysis,W. Wu; J. You,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong, P. R. China; Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong, P. R. China",2025 Joint International Conference on Automation-Intelligence-Safety (ICAIS) & International Symposium on Autonomous Systems (ISAS),3 Jul 2025,2025,,,1,8,"This study explores the integration of advanced machine learning (ML) techniques and large language models (LLMs) in financial modeling, focusing on the Chinese stock market. It introduces the ChatGPT Score, an LLM-driven sentiment analysis factor, and compares the traditional Fama-French five-factor (FF5) model with its augmented version, FF5+ChatGPT Score. The research evaluates linear regression models against ML models, such as Random Forests, Extreme Gradient Boosting (XGBoost), Light Gradient Boosting Machine (LightGBM), and Category Boosting (CatBoost), within five- and six-factor frameworks. Empirical results show that the ChatGPT Score outperforms traditional sentiment tools like SnowNLP and improves the predictive accuracy of the FF5 model. Additionally, CatBoost and Random Forests demonstrate strong portfolio management capabilities. Statistical validation through retrospective analysis confirms the effectiveness of the models, while industry feedback highlights their practical value in investment strategies. However, the study acknowledges the limitations of current models and recommends future research on deep learning techniques to improve financial market analysis and predictive accuracy.",2996-3850,979-8-3315-4470-6,10.1109/ICAISISAS64483.2025.11051550,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11051550,Chinese Stock Market;Financial Modeling;Fama-French Models;Machine Learning;Random Forests;XGBoost;LightGBM;CatBoost;Large Language Models;Sentiment Analysis;ChatGPT Score,Analytical models;Sentiment analysis;Accuracy;Predictive models;Chatbots;Boosting;Risk management;Stock markets;Random forests;Portfolios,,,,31.0,IEEE,3 Jul 2025,,,IEEE,IEEE Conferences
Stock Price Prediction Using LLM-Based Sentiment Analysis,Q. Chen; H. Kawashima,"Graduate School of Information Science, University of Hyogo, Kobe, Japan; Graduate School of Information Science, University of Hyogo, Kobe, Japan",2024 IEEE International Conference on Big Data (BigData),16 Jan 2025,2024,,,4846,4853,"This paper examines the effectiveness of recent large language model-based news sentiment estimation for stock price forecasting with the combination of latest transformer-based prediction models. To achieve a better accuracy in sentiment classification, experiments are designed to compare six different models (GPT 4, Llama 3, Gemma 2, Mistral 7b, FinBERT, VADER) in financial news sentiment classification, and it was found that recent large language models can outperform FinBERT and VADER, which are the most commonly used models in financial sentiment analysis. Based on the experiment results, Llama 3, with relatively stable performance, is chosen to classify the news sentiments of the selected companies. Informer, Transformer, TCN, LSTM, SVR, Random Forest and Naive Forecast are used to predict the stock prices with different sliding window sizes. Experiments with different scenarios are designed to evaluate the prediction ability of news sentiment. Results show that adding news sentiment data can indeed improve the stock price prediction. Informer, one of the state-of-the-art transformer models for long-term prediction tasks, yields the best performances in most cases. Ablation study of Informer suggests that the generative style decoder plays an important role in performance improvement.",2573-2978,979-8-3503-6248-0,10.1109/BigData62323.2024.10825946,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825946,time series forecasting;sentiment analysis;Transformer;Informer;LLM,Sentiment analysis;Analytical models;Large language models;Time series analysis;Predictive models;Transformers;Data models;Decoding;Random forests;Long short term memory,,3.0,,35.0,IEEE,16 Jan 2025,,,IEEE,IEEE Conferences
Learning Sentimental and Financial Signals With Normalizing Flows for Stock Movement Prediction,W. Tai; T. Zhong; Y. Mo; F. Zhou,"University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China; University of Electronic Science and Technology of China, Chengdu, China",IEEE Signal Processing Letters,28 Jan 2022,2022,29,,414,418,"Stockmovement prediction using Tweets (text) and historical price signals (time series) remains a challenging task due to the complex, noisy and dynamic nature of the stock market. The key to improve prediction performance is effectively capturing the complementarity between market sentiment signal from Tweets and time-series signal from the stock price. In this paper, we contribute a new solution StockNF by exploiting a deep generative model technique, Normalizing Flow (NF), to learn more flexible and expressive posterior distributions of latent variables of Tweets and price signals, which can largely ameliorate the bias inference problem in existing methods. We empirically evaluate the NF technique on a public stock movement prediction dataset and show that StockNF outperforms the state-of-the-art baselines.",1558-2361,,10.1109/LSP.2021.3135793,"National Natural Science Foundation of China(grant numbers:62176043,62072077); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652123,Stock movement prediction;Fintech;normalizing flow;variational inference;generative models,Predictive models;Time series analysis;Stochastic processes;Data models;Noise measurement;Task analysis;Social networking (online),,14.0,,39.0,IEEE,15 Dec 2021,,,IEEE,IEEE Journals
