ID,Decision,Date,Reviewer
10.3390/risks7040111,n,2025-10-13T19:39:05.362620,Sondre
10.1515/til-2025-0004,n,2025-10-13T19:41:21.478533,Sondre
10.1109/HPCA61900.2025.00129,n,2025-10-13T19:43:12.854966,Sondre
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6855483,n,2025-10-13T19:44:02.256438,Sondre
WOS:000380809500069,n,2025-10-13T19:44:40.599880,Sondre
10.1016/j.fraope.2025.100359,y,2025-10-13T19:48:30.965670,Sondre
10.1038/s41467-025-61292-1,n,2025-10-13T19:50:02.112470,Sondre
2-s2.0-85195934691,y,2025-10-13T19:52:09.299011,Sondre
10.1145/3724154.3724240,y,2025-10-13T19:53:31.885455,Sondre
10.1049/icp.2025.2498,n,2025-10-13T19:53:49.466095,Sondre
10.1007/s10844-025-00971-3,y,2025-10-13T19:54:42.781793,Sondre
10.1109/ACCESS.2025.3568028,n,2025-10-13T20:57:33.418099,Sander
10.1007/s11042-021-11670-w,n,2025-10-13T20:58:19.621402,Sander
10.1109/TBDATA.2019.2941887,n,2025-10-13T20:58:44.845082,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11066262,n,2025-10-13T20:59:50.913167,Sander
10.1007/978-981-96-4589-3_9,y,2025-10-13T21:02:14.606863,Sander
10.1109/ISCMI63661.2024.10851487,y,2025-10-13T21:03:04.447666,Sander
10.22495/rgcv15i2p13,y,2025-10-13T21:04:07.042237,Sander
10.1016/j.gfj.2025.101151,n,2025-10-13T21:05:19.249585,Sander
10.1016/j.procs.2024.08.258,y,2025-10-13T21:14:06.619544,Sander
10.1007/s10614-025-11024-w,survey,2025-10-13T21:19:40.981680,Sander
10.1109/IDCIOT64235.2025.10914764,survey,2025-10-13T21:21:30.776446,Sander
10.1145/3589334.3645611,y,2025-10-13T21:23:26.339249,Sander
10.1016/j.ribaf.2022.101747,n,2025-10-13T21:24:07.852881,Sander
10.1016/j.econlet.2025.112511,n,2025-10-13T21:25:10.332891,Sander
10.1016/j.procs.2025.08.073,y,2025-10-13T21:26:00.711453,Sander
10.1016/j.techfore.2024.123965,n,2025-10-13T21:26:26.621877,Sander
10.3390/math11132883,survey,2025-10-13T21:27:46.264072,Sander
10.1109/ICADEIS65852.2025.10933440,n,2025-10-13T21:28:16.252484,Sander
10.1145/3708036.3708236,y,2025-10-13T21:28:44.870890,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10804210,n,2025-10-13T21:38:54.635223,Sander
2-s2.0-84871531453,n,2025-10-13T21:43:01.798459,Sander
10.1109/BigData62323.2024.10825946,y,2025-10-13T21:43:23.291107,Sander
10.1007/s41109-021-00357-8,n,2025-10-13T21:43:51.298929,Sander
10.1007/978-3-031-97564-6_24,y,2025-10-13T21:44:48.137190,Sander
10.3390/jtaer19010029,n,2025-10-13T21:45:38.498081,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10703702,n,2025-10-13T22:00:34.834585,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11141054,n,2025-10-13T22:04:42.090418,Sander
10.1109/ASIANCON62057.2024.10838194,n,2025-10-14T09:18:09.110103,Sander
10.1109/AiDAS63860.2024.10730589,y,2025-10-14T09:20:25.630671,Sander
10.3390/bdcc9060162,n,2025-10-14T09:20:55.312591,Sander
10.1016/j.jedc.2024.104821,n,2025-10-14T09:21:40.684578,Sander
10.3905/jpm.2024.1.645,survey,2025-10-14T09:22:24.352725,Sander
10.1109/TENSYMP63728.2025.11144933,y,2025-10-14T09:22:52.970970,Sander
10.1109/SIU66497.2025.11112242,y,2025-10-14T09:23:42.468765,Sander
10.5220/0013191200003890,y,2025-10-14T09:28:57.659818,Sander
10.1109/BigDIA63733.2024.10808510,n,2025-10-14T09:29:18.985995,Sander
10.1109/TEM.2025.3554567,n,2025-10-14T09:30:02.062531,Sander
10.1016/j.eneco.2019.104624,n,2025-10-14T09:30:31.869113,Sander
10.18653/v1/2024.findings-acl.233,y,2025-10-14T09:31:22.411273,Sander
10.1109/SSCI47803.2020.9308192,n,2025-10-14T09:31:41.097553,Sander
10.1145/3652037.3652047,y,2025-10-14T09:32:30.177983,Sander
10.1111/exsy.13681,n,2025-10-14T09:34:00.977049,Sander
10.1145/3696410.3714588,n,2025-10-14T09:35:09.840371,Sander
10.1016/j.jfds.2025.100152,survey,2025-10-14T09:36:17.855379,Sander
10.1007/978-3-031-72393-3_5,y,2025-10-14T09:37:01.107370,Sander
10.3233/IDA-150770,n,2025-10-14T09:37:21.523697,Sander
10.1145/3672608.3707874,n,2025-10-14T09:38:02.576060,Sander
10.1111/1475-679X.12593,n,2025-10-14T09:55:35.487628,Sander
10.12785/ijcds/1571026011,y,2025-10-14T09:56:13.539049,Sander
2-s2.0-105000488263,n,2025-10-14T09:57:01.004818,Sander
10.3389/fbloc.2025.1627769,y,2025-10-14T09:57:21.595614,Sander
10.1287/ijoc.2022.0055,n,2025-10-14T10:05:32.702807,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11077509,n,2025-10-14T10:06:57.890318,Sander
10.1080/14697688.2024.2399285,n,2025-10-14T10:07:27.885071,Sander
10.1109/IDS66066.2025.00016,y,2025-10-14T10:07:53.588879,Sander
10.1109/ICAISISAS64483.2025.11051550,y,2025-10-14T10:08:28.405899,Sander
10.1007/978-981-97-5934-7_19,y,2025-10-14T10:16:28.954438,Sander
10.1109/ICDMW65004.2024.00019,y,2025-10-14T10:16:56.987071,Sander
10.3390/jrfm18020099,survey,2025-10-14T10:19:50.568498,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341469,n,2025-10-14T10:21:47.544998,Sander
10.1016/j.techsoc.2024.102454,n,2025-10-14T10:22:54.870208,Sander
10.1007/978-981-96-3725-6_32,n,2025-10-14T10:27:07.910557,Sander
10.1145/3677052.3698649,n,2025-10-14T10:29:05.292131,Sander
10.1016/j.eswa.2025.127864,survey,2025-10-14T10:29:53.635335,Sander
WOS:000873142500002,n,2025-10-14T10:36:32.891218,Sander
10.1109/ISCA59077.2024.00082,n,2025-10-14T10:36:57.394273,Sander
10.1108/02686900610705037,n,2025-10-14T10:37:34.710037,Sander
10.1109/FMLDS63805.2024.00071,y,2025-10-14T10:38:06.816927,Sander
10.1109/SMC52423.2021.9659283,y,2025-10-14T10:38:32.223405,Sander
WOS:000280563600008,n,2025-10-14T10:39:46.774777,Sander
10.3905/jfds.2023.1.143,y,2025-10-14T10:40:17.328731,Sander
10.3390/jrfm18090475,y,2025-10-14T10:41:56.640584,Sander
10.1145/3583780.3614886,y,2025-10-14T10:45:13.682281,Sander
10.1109/ACCESS.2024.3445413,survey,2025-10-14T10:45:41.914501,Sander
10.1007/978-981-97-0837-6_4,y,2025-10-14T10:46:24.801505,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963060,y,2025-10-14T10:51:00.175569,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10447993,y,2025-10-14T10:51:30.942299,Sander
10.3390/e27060550,y,2025-10-14T10:52:11.564677,Sander
10.1007/978-981-96-6291-3_3,n,2025-10-14T10:52:43.075826,Sander
10.3390/bdcc8110143,y,2025-10-14T10:53:06.390645,Sander
10.1109/BigData62323.2024.10825449,y,2025-10-14T10:53:46.732178,Sander
10.1080/23322039.2025.2468387,y,2025-10-14T10:55:06.366127,Sander
10.1016/j.inffus.2024.102616,survey,2025-10-14T10:56:58.055271,Sander
10.3905/jpm.2025.1.710,n,2025-10-14T10:58:11.793588,Sander
10.1016/j.ailsci.2022.100031,n,2025-10-14T10:58:45.936617,Sander
10.1145/3677052.3698647,n,2025-10-14T11:01:39.697495,Sander
10.1007/978-3-031-84371-6_3,n,2025-10-14T11:02:37.758994,Sander
10.1109/ICSCNA58489.2023.10370253,n,2025-10-14T11:04:46.755795,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10981791,y,2025-10-14T11:06:37.242604,Sander
10.1016/j.procs.2023.01.121,n,2025-10-14T11:07:57.626199,Sander
10.1145/2766462.2767757,n,2025-10-14T11:08:32.558514,Sander
10.18653/v1/d15-1184,n,2025-10-14T11:09:30.912490,Sander
10.1109/AITest66680.2025.00018,n,2025-10-14T11:11:29.846778,Sander
10.1109/ICOCT64433.2025.11118821,n,2025-10-14T11:12:04.974106,Sander
10.1007/s10614-024-10668-4,n,2025-10-14T11:13:04.437818,Sander
10.1007/s10614-024-10811-1,y,2025-10-14T11:14:24.326168,Sander
10.1109/CSCE60160.2023.00302,y,2025-10-14T11:16:13.694545,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10594605,y,2025-10-14T11:18:16.439912,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584081,n,2025-10-14T11:18:42.121890,Sander
10.1109/CSNT64827.2025.10967744,y,2025-10-14T11:19:29.706120,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10763168,n,2025-10-14T11:20:47.733956,Sander
10.1016/j.procs.2024.03.246,n,2025-10-14T11:21:47.880437,Sander
10.1109/ICoDSA62899.2024.10652178,n,2025-10-14T11:23:19.871264,Sander
10.1016/j.iref.2025.104281,y,2025-10-14T11:24:44.990626,Sander
10.1109/ICASSPW65056.2025.11011079,n,2025-10-14T11:25:31.555756,Sander
10.3390/computers12050102,n,2025-10-14T11:26:56.642186,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10957017,n,2025-10-14T11:28:39.491843,Sander
10.18653/v1/2024.findings-acl.185,y,2025-10-14T11:29:01.627835,Sander
2-s2.0-85204874765,y,2025-10-14T11:29:24.916437,Sander
